구인업체명,모집기간,인원,성별,연령,급여 타입,급여,근무요일,근무시간형태,근무시간,업종,고용형태,데이터기준일자
할매실비회식당,2020-08-03 - 2020-08-03,1,여,30 - 62,일급,협의가능,주1일,풀타임,09:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
은아횟집,2020-08-03 - 2020-08-04,1,여,연령 무관,일급,90000,주1일,기타,10:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
갈릴리대게횟집,2020-08-03 - 2020-08-09,1,여,연령 무관,일급,협의가능,주1일,기타,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
죽천해녀횟집,2020-08-03 - 2020-08-03,1,성별무관,연령 무관,일급,90000,협의가능,협의가능,,주방보조 및 홀서빙,무관,2020-08-13
다님길,2020-08-03 - 2020-08-07,1,여,연령 무관,시급,10000,주5일,기타,10:00~13:00,주방보조 및 홀서빙,자투리시간,2020-08-13
갈릴리대게횟집,2020-08-03 - 2020-08-09,1,여,연령 무관,일급,협의가능,주1일,기타,12:00~00:00,주방보조 및 홀서빙,자투리시간,2020-08-13
의성회타운,2020-08-03 - 2020-08-03,1,여,연령 무관,시급,9000,주1일,기타,10:00~16:00,주방보조 및 홀서빙,무관,2020-08-13
아재네생선구이,2020-08-03 - 2020-08-09,1,여,연령 무관,일급,90000,주2일,기타,11:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
공화춘,2020-08-03 - 2020-08-03,1,여,연령 무관,일급,90000,주1일,풀타임,09:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
24시 전주콩나물국밥(죽도동),2020-08-03 - 2020-08-03,1,여,40 - 60,시급,협의가능,주1일,기타,21:00~09:00,주방보조 및 홀서빙,자투리시간,2020-08-13
아리랑감자탕,2020-08-03 - 2020-08-03,1,여,연령 무관,시급,9000,주1일,저녁 타임,11:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
황장군,2020-08-03 - 2020-08-04,1,여,0 - 50,시급,8590,주1일,기타,11:00~16:00,주방보조 및 홀서빙,무관,2020-08-13
바닷속물회,2020-08-03 - 2020-08-04,1,성별무관,연령 무관,시급,10000,주1일,기타,10:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
빅쭌부대찌개,2020-08-03 - 2020-08-20,1,여,연령 무관,월급,2500000,주6일,기타,09:00~20:30,주방보조 및 홀서빙,무관,2020-08-13
빅쭌부대찌개,2020-08-03 - 2020-08-07,1,여,연령 무관,시급,10000,주6일,기타,10:00~14:00,주방보조 및 홀서빙,무관,2020-08-13
와촌식육식당,2020-08-03 - 2020-08-07,1,여,연령 무관,일급,100000,주3일,기타,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
해동회수산,2020-08-03 - 2020-08-09,1,여,45 - 60,시급,9000,주1일,기타,11:00~16:00,주방보조 및 홀서빙,자투리시간,2020-08-13
돌고래회식당,2020-08-03 - 2020-08-04,1,여,40 - 55,일급,90000,주1일,기타,10:00~21:00,주방보조 및 홀서빙,자투리시간,2020-08-13
돌고래회식당,2020-08-03 - 2020-08-03,1,여,40 - 55,일급,협의가능,주1일,기타,10:00~21:00,주방보조 및 홀서빙,자투리시간,2020-08-13
장수숯불민물장어,2020-08-03 - 2020-08-31,2,여,연령 무관,시급,8590,주6일,기타,16:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
죽천회타운,2020-08-03 - 2020-08-03,2,여,연령 무관,일급,100000,주1일,풀타임,09:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
강변횟집,2020-08-03 - 2020-08-09,1,여,45 - 55,일급,협의가능,주1일,기타,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
